item_id,denumire,total_valoare,cantitate,pret_unitar,moneda,validare,,,,observatii
MED-0649,Sterofundin ISO sol. perf. 1000 ml N1,4038.41,110.0,36.7128,MDL,OK,,,,
MED-0650,Sterofundin ISO sol. perf. 500 ml N1,2052.26,80.0,25.6533,MDL,OK,,,,
MED-0651,Stilnox comp. film. diviz. 10 mg N14,1052.23,364.0,2.8907,MDL,OK,,,,
MED-0652,Strepsils intensiv miere si lamiie 8.75 mg N24,318.81,72.0,4.4279,MDL,OK,,,,
MED-0653,"Strofantin G sol. inj. 0,025% 1 ml N10",569.69,440.0,1.2948,MDL,OK,,,,
MED-0654,Sulfacil pic.oft.300 mg/ml 10 ml N1 *,177.93,11.0,16.1755,MDL,OK,,,,
MED-0655,"Sulfat de atropina sol. inj. 0,1% 1 ml N10",138.23,100.0,1.3823,MDL,OK,,,,
MED-0656,Sulfat de Bariu pt rentghenoscopie 100grN5,3265.8,30.0,108.86,MDL,OK,,,,
MED-0657,Sulfat de magneziu sol. inj. 25% 5 ml N50 *,12750.57,8880.0,1.4359,MDL,OK,,,,
MED-0658,Sutura chirurgicala Nylon 2/0 ac rotund 1/2#26mm 75cm N12,569.52,60.0,9.492,MDL,OK,,,,
MED-0659,Tachyben sol.inj.25mg 5ml N5 *,12153.83,675.0,18.0057,MDL,OK,,,,
MED-0660,Tachyben sol.inj.50mg 10ml N5 *,9070.32,290.0,31.277,MDL,OK,,,,
MED-0661,Tagista comp.24mgN30,37.58,30.0,1.2527,MDL,OK,,,,
MED-0662,Takudex comp.75mg/25mg N15,4942.62,720.0,6.8647,MDL,OK,,,,
MED-0663,Tamidra(tamsol)caps.0.4mg N30,168.41,90.0,1.8712,MDL,OK,,,,
MED-0664,Taufon pic.oft 4% 10mlN1,17.87,2.0,8.935,MDL,OK,,,,
MED-0665,Termometru medical fara mercur,650.0,13.0,50.0,MDL,OK,,,,
MED-0666,Test Rapid Antigen SARS COV-2 N 25,536.56,100.0,5.3656,MDL,OK,,,,
MED-0667,Teste rapide de diagnostic Ag COVID 19 N25,1341.4,250.0,5.3656,MDL,OK,,,,
MED-0668,Tetraciclina ung 3%12gN1,47.97,2.0,23.985,MDL,OK,,,,
MED-0669,Tetracycline 1% 5gr ung oftalmic,1034.78,57.0,18.154,MDL,OK,,,,
MED-0670,Tifon med.n/s 90cmX1000m,1823.56,550.0,3.3156,MDL,OK,,,,
MED-0671,Tija / sold,258100.0,26.0,9926.9231,MDL,OK,,,,
MED-0672,Tija centromedulara zavorita canulata de humerus,23100.0,7.0,3300.0,MDL,OK,,,,
MED-0673,Tija centromedulara zavorita canulata de humerus-suruburi de zavoare distala diam.3.5-4.5mm,1900.0,10.0,190.0,MDL,OK,,,,
MED-0674,Timolol 0.5%5ml pic.oft.N1,202.89,13.0,15.6069,MDL,OK,,,,
MED-0675,Timonil retard comp. elib. prel. 600 mg N10x5,2866.0,500.0,5.732,MDL,OK,,,,
MED-0676,Timonil retard comp.150mg N50,276.64,200.0,1.3832,MDL,OK,,,,
MED-0677,Timonil retard comp.300mg N50,213.52,100.0,2.1352,MDL,OK,,,,
MED-0678,Tinctura de odoleana 25ml N1,349.92,36.0,9.72,MDL,OK,,,,
MED-0679,Tiopental-KMP liof./sol. inj. 1000 mg N10,3060.0,50.0,61.2,MDL,OK,,,,
MED-0680,Tiopental-KMP liof./sol. inj. 500 mg N1,2637.36,120.0,21.978,MDL,OK,,,,
MED-0681,Tiopental-KMP liof./sol. inj. 500 mg N10,6987.5,100.0,69.875,MDL,OK,,,,
MED-0682,Tiosulfat de sodiu-Darnita sol. inj. 30% 5 ml N10,1212.55,320.0,3.7892,MDL,OK,,,,
MED-0683,Tivortin 4.2% sol.perf 100ml N1(arginina),4175.71,120.0,34.7976,MDL,OK,,,,
MED-0684,Tiyokas 50g gel N1,382.85,5.0,76.57,MDL,OK,,,,
